Heating energy,Power,Natural gas,Oil fuel,Wood fuel
2018,0.12,0.0607,0.06055,0.05593
2019,0.12132,0.06156194,0.0618821,0.05660116
2020,0.12265452,0.06243612,0.063243506,0.057280374
2021,0.12400372,0.063322712,0.064634863,0.057967738
2022,0.125367761,0.064221895,0.06605683,0.058663351
2023,0.126746806,0.065133846,0.067510081,0.059367311
2024,0.128141021,0.066058746,0.068995302,0.060079719
2025,0.129550572,0.066996781,0.070513199,0.060800676
2026,0.130975628,0.067948135,0.072064489,0.061530284
2027,0.13241636,0.068912998,0.073649908,0.062268647
2028,0.13387294,0.069891563,0.075270206,0.063015871
2029,0.135345543,0.070884023,0.076926151,0.063772062
2030,0.136834344,0.071890576,0.078618526,0.064537326
2031,0.138339521,0.072911423,0.080348134,0.065311774
2032,0.139861256,0.073946765,0.082115793,0.066095516
2033,0.14139973,0.074996809,0.08392234,0.066888662
2034,0.142955127,0.076061764,0.085768631,0.067691326
2035,0.144527633,0.077141841,0.087655541,0.068503622
2036,0.146117437,0.078237255,0.089583963,0.069325665
2037,0.147724729,0.079348224,0.09155481,0.070157573
2038,0.149349701,0.080474968,0.093569016,0.070999464
2039,0.150992548,0.081617713,0.095627535,0.071851457
2040,0.152653466,0.082776685,0.09773134,0.072713675
2041,0.154332654,0.083952113,0.09988143,0.073586239
2042,0.156030313,0.085144234,0.102078821,0.074469274
2043,0.157746647,0.086353282,0.104324555,0.075362905
2044,0.15948186,0.087579498,0.106619696,0.07626726
2045,0.16123616,0.088823127,0.108965329,0.077182467
2046,0.163009758,0.090084415,0.111362566,0.078108657
2047,0.164802865,0.091363614,0.113812543,0.079045961
2048,0.166615697,0.092660978,0.116316419,0.079994512
2049,0.168448469,0.093976763,0.11887538,0.080954446
2050,0.170301403,0.095311233,0.121490638,0.0819259
2051,0.172174718,0.096664653,0.124163432,0.08290901
2052,0.17406864,0.098037291,0.126895028,0.083903919
2053,0.175983395,0.099429421,0.129686718,0.084910766
2054,0.177919212,0.100841318,0.132539826,0.085929695
2055,0.179876324,0.102273265,0.135455702,0.086960851
2056,0.181854963,0.103725545,0.138435728,0.088004381
2057,0.183855368,0.105198448,0.141481314,0.089060434
2058,0.185877777,0.106692266,0.144593903,0.090129159
2059,0.187922432,0.108207296,0.147774968,0.091210709
2060,0.189989579,0.10974384,0.151026018,0.092305238
2061,0.192079465,0.111302202,0.15434859,0.0934129
2062,0.194192339,0.112882694,0.157744259,0.094533855
2063,0.196328454,0.114485628,0.161214633,0.095668262
2064,0.198488067,0.116111324,0.164761355,0.096816281
2065,0.200671436,0.117760105,0.168386105,0.097978076
2066,0.202878822,0.119432298,0.172090599,0.099153813
2067,0.205110489,0.121128237,0.175876592,0.100343659
2068,0.207366704,0.122848258,0.179745877,0.101547783
2069,0.209647738,0.124592703,0.183700286,0.102766356
2070,0.211953863,0.126361919,0.187741693,0.103999552
2071,0.214285356,0.128156259,0.19187201,0.105247547
2072,0.216642495,0.129976078,0.196093194,0.106510517
2073,0.219025562,0.131821738,0.200407244,0.107788644
2074,0.221434843,0.133693607,0.204816204,0.109082107
2075,0.223870627,0.135592056,0.20932216,0.110391093
2076,0.226333203,0.137517463,0.213927248,0.111715786
2077,0.228822869,0.139470211,0.218633647,0.113056375
2078,0.23133992,0.141450688,0.223443587,0.114413052
2079,0.233884659,0.143459288,0.228359346,0.115786008
2080,0.236457391,0.14549641,0.233383252,0.11717544